,Date,Lead.Contract,CL0,CL1,CL2,CL3,CL4,CL0.value,CL1.value,CL2.value,CL3.value,CL4.value
5187,20101122,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,26.17,23.9,21.55,20.18,19.87
5188,20101123,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,27.07,24.65,22.19,20.79,20.05
5189,20101124,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,27.89,25.38,22.89,21.33,20.59
5190,20101126,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,28.25,25.72,23.08,21.51,20.88
5191,20101129,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,28.52,25.93,23.31,21.78,21.15
5192,20101130,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,27.51,24.89,22.25,20.89,19.92
5193,20101201,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,28.37,25.68,22.89,21.43,20.87
5194,20101202,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,28.48,25.8,22.99,21.56,20.87
5195,20101203,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,29.38,26.65,23.85,22.23,21.64
5196,20101206,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,29.27,26.47,23.64,22.01,21.3
5197,20101207,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,28.58,25.87,23.05,21.38,20.81
5198,20101208,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,28.93,26.11,23.24,21.56,20.95
5199,20101209,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,28.88,26.09,23.17,21.62,21.04
5200,20101210,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,28.63,25.91,23.09,21.5,20.85
5201,20101213,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,30.22,27.31,24.26,22.49,21.84
5202,20101214,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,30.84,27.8,24.6,22.64,21.77
5203,20101215,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,30.8,27.82,24.59,22.69,21.75
5204,20101216,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,31.06,28.01,24.77,22.92,22.01
5205,20101217,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,32.04,28.83,25.5,23.44,22.75
5206,20101220,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,32.85,29.42,25.83,23.92,22.95
5207,20101221,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,33.25,29.83,26,24.02,22.98
5208,20101222,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,32.26,29,25.49,23.54,22.41
5209,20101223,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,33.87,30.33,26.47,24.4,23.44
5210,20101227,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,33.69,30.13,26.2,24.26,23.4
5211,20101228,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,34.48,30.88,26.86,24.79,23.74
5212,20101229,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,34.14,30.62,26.75,24.75,23.71
5213,20101230,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,29.95,27.1,24.05,22.65,21.83
5214,20101231,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,31.65,28.89,25.86,24.15,23.18
5215,20110104,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,30.65,27.86,24.98,23.27,22.25
5216,20110105,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,32.3,29.36,26.36,24.43,23.44
5217,20110106,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,30.53,27.91,25.18,23.55,22.96
5218,20110107,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,31.35,28.81,26.1,24.54,23.8
5219,20110110,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,31.27,28.94,26.5,24.69,23.93
5220,20110111,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,32.88,30.4,27.49,25.55,24.49
5221,20110112,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,31.82,29.61,26.75,25.03,23.98
5222,20110113,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,31.72,29.67,27.29,25.55,24.76
5223,20110114,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,31.07,29.05,26.88,25.31,24.52
5224,20110118,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,31.29,29.44,27.33,25.78,24.73
5225,20110119,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,31.08,29.1,26.95,25.42,24.63
5226,20110120,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,31.08,29.07,26.82,25.25,24.34
5227,20110121,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,32.23,29.8,27.25,25.54,24.7
5228,20110124,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,32.35,30.03,27.37,25.68,24.85
5229,20110125,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,31.94,29.57,26.96,25.34,24.52
