Dates,Daily.Returns,200.MA,Close,200.D.MA.Price,50.D.MA.Price,100.D.MA.Price
04/01/12,0,0.0147,1277.300049,1258.811,1238.5604,1207.930503
05/01/12,0.003,0.0178,1281.060059,1258.705,1239.341401,1208.977103
06/01/12,-0.003,0.0152,1277.810059,1258.642,1239.878804,1209.999603
09/01/12,0.002,0.0176,1280.699951,1258.543,1240.854004,1210.732804
10/01/12,0.009,0.0268,1292.079956,1258.398,1241.628003,1211.612203
11/01/12,0,0.0272,1292.47998,1258.29,1241.777803,1212.594103
12/01/12,0.002,0.0296,1295.5,1258.201,1241.925603,1214.112402
13/01/12,-0.005,0.0246,1289.089966,1258.081,1242.769602,1215.832102
17/01/12,0.004,0.0284,1293.670044,1257.885,1244.185801,1217.484802
18/01/12,0.011,0.04,1308.040039,1257.725,1245.301201,1218.798003
19/01/12,0.005,0.0452,1314.5,1257.603,1246.239002,1220.102404
20/01/12,0.001,0.046,1315.380005,1257.511,1247.464402,1221.654703
23/01/12,0,0.0466,1316,1257.425,1248.549602,1223.040503
24/01/12,-0.001,0.0456,1314.650024,1257.327,1249.351201,1224.099703
25/01/12,0.009,0.0547,1326.060059,1257.233,1251.062202,1225.117003
26/01/12,-0.006,0.0487,1318.430054,1257.222,1252.789404,1226.188704
27/01/12,-0.002,0.047,1316.329956,1257.192,1253.881006,1227.328804
30/01/12,-0.003,0.0444,1313.01001,1257.203,1255.172004,1228.752404
31/01/12,0,0.0439,1312.410034,1257.196,1256.276003,1230.230104
01/02/12,0.009,0.0532,1324.089966,1257.185,1257.786003,1231.368004
02/02/12,0.001,0.0544,1325.540039,1257.207,1259.945203,1232.749904
03/02/12,0.015,0.0697,1344.900024,1257.309,1262.143003,1234.463004
06/02/12,0,0.0691,1344.329956,1257.471,1265.181404,1236.289304
07/02/12,0.002,0.0712,1347.050049,1257.541,1268.307202,1238.003904
08/02/12,0.002,0.0735,1349.959961,1257.589,1272.012402,1239.587604
09/02/12,0.001,0.075,1351.949951,1257.663,1275.838201,1240.996104
10/02/12,-0.007,0.0675,1342.640015,1257.686,1279.026199,1242.355503
13/02/12,0.007,0.0749,1351.77002,1257.621,1281.9752,1243.741003
14/02/12,-0.001,0.0739,1350.5,1257.577,1284.071401,1245.237804
15/02/12,-0.005,0.0682,1343.22998,1257.512,1286.189802,1247.075204
16/02/12,0.011,0.08,1358.040039,1257.422,1288.168801,1249.211903
17/02/12,0.002,0.0826,1361.22998,1257.429,1290.188003,1251.428003
21/02/12,0.001,0.0833,1362.209961,1257.499,1292.243203,1253.410803
22/02/12,-0.003,0.0795,1357.660034,1257.634,1294.267202,1255.279103
23/02/12,0.004,0.0841,1363.459961,1257.721,1296.733403,1257.345103
24/02/12,0.002,0.0858,1365.73999,1257.807,1298.898804,1259.375702
27/02/12,0.001,0.0872,1367.589966,1257.85,1301.484204,1261.718901
28/02/12,0.003,0.0908,1372.180054,1257.978,1304.321404,1264.402501
29/02/12,-0.005,0.0855,1365.680054,1258.095,1307.528606,1266.884802
01/03/12,0.006,0.0921,1374.089966,1258.235,1310.527207,1269.101303
02/03/12,-0.003,0.0883,1369.630005,1258.458,1313.615806,1271.192502
05/03/12,-0.004,0.084,1364.329956,1258.661,1316.901406,1273.334203
06/03/12,-0.015,0.0672,1343.359985,1258.78,1319.362004,1275.028602
07/03/12,0.007,0.0746,1352.630005,1258.778,1321.354805,1276.506802
08/03/12,0.01,0.085,1365.910034,1258.875,1323.327405,1277.960602
09/03/12,0.004,0.0888,1370.869995,1259.118,1325.339006,1279.583102
12/03/12,0,0.0887,1371.089966,1259.391,1327.447805,1281.046002
13/03/12,0.018,0.1082,1395.949951,1259.644,1329.876804,1282.748302
14/03/12,-0.001,0.1066,1394.280029,1259.995,1332.535403,1284.454001
15/03/12,0.006,0.1129,1402.599976,1260.311,1335.269004,1286.298002
16/03/12,0.001,0.1139,1404.170044,1260.598,1337.779802,1288.170101
19/03/12,0.004,0.1179,1409.75,1261.046,1340.317202,1289.829302
20/03/12,-0.003,0.1141,1405.52002,1261.53,1342.891001,1291.384902
21/03/12,-0.002,0.1116,1402.890015,1262.057,1345.4452,1293.149602
22/03/12,-0.007,0.1031,1392.780029,1262.641,1347.889001,1294.758502
23/03/12,0.003,0.106,1397.109985,1263.18,1349.903003,1295.840403
26/03/12,0.014,0.1209,1416.51001,1263.768,1351.995603,1296.960603
27/03/12,-0.003,0.1171,1412.52002,1264.405,1354.415803,1298.592703
28/03/12,-0.005,0.111,1405.540039,1265.113,1356.884404,1300.535103
29/03/12,-0.002,0.1086,1403.280029,1265.781,1359.121804,1302.211503
30/03/12,0.004,0.1122,1408.469971,1266.358,1361.026604,1303.632803
02/04/12,0.008,0.1199,1419.040039,1267.074,1362.906003,1305.185203
03/04/12,-0.004,0.1148,1413.380005,1267.831,1364.979204,1306.764403
04/04/12,-0.01,0.1028,1398.959961,1268.54,1366.926804,1308.139003
05/04/12,-0.001,0.1016,1398.079956,1269.143,1368.613003,1309.837603
09/04/12,-0.011,0.0886,1382.199951,1269.656,1370.053401,1311.421403
10/04/12,-0.017,0.0696,1358.589966,1270.131,1371.328799,1312.604902
11/04/12,0.007,0.0773,1368.709961,1270.507,1372.173999,1313.673002
12/04/12,0.014,0.0917,1387.569946,1271.008,1373.287998,1314.782001
13/04/12,-0.012,0.0776,1370.26001,1271.545,1374.791196,1316.2886
16/04/12,-0.001,0.0768,1369.569946,1271.913,1375.714597,1317.8299
17/04/12,0.015,0.0932,1390.780029,1272.224,1376.595195,1319.369099
18/04/12,-0.004,0.0885,1385.140015,1272.575,1377.512795,1321.3471
19/04/12,-0.006,0.0818,1376.920044,1272.802,1378.328997,1323.318099
20/04/12,0.001,0.0829,1378.530029,1272.997,1378.926397,1325.469399
23/04/12,-0.008,0.0736,1366.939941,1273.194,1379.497798,1327.667999
24/04/12,0.004,0.0775,1371.969971,1273.262,1379.797598,1329.411898
25/04/12,0.014,0.0921,1390.689941,1273.403,1380.384197,1331.179699
26/04/12,0.007,0.0991,1399.97998,1273.759,1381.162595,1332.616998
27/04/12,0.002,0.1014,1403.359985,1274.191,1382.152195,1334.170999
30/04/12,-0.004,0.0967,1397.910034,1274.619,1383.354795,1335.761798
01/05/12,0.006,0.1025,1405.819946,1275.064,1384.152195,1337.170099
02/05/12,-0.002,0.0994,1402.310059,1275.513,1385.043994,1338.643599
03/05/12,-0.008,0.0906,1391.569946,1275.997,1385.845996,1340.056599
04/05/12,-0.016,0.0727,1369.099976,1276.321,1386.524194,1341.628799
07/05/12,0,0.0729,1369.579956,1276.538,1386.636995,1342.767899
08/05/12,-0.004,0.0682,1363.719971,1276.667,1386.713794,1344.098999
09/05/12,-0.007,0.061,1354.579956,1276.76,1386.636394,1345.478899
10/05/12,0.003,0.0636,1357.98999,1276.846,1386.284392,1346.906499
11/05/12,-0.003,0.0598,1353.390015,1276.976,1386.130591,1348.328899
14/05/12,-0.011,0.0479,1338.349976,1277.219,1385.716592,1349.666199
15/05/12,-0.006,0.0417,1330.660034,1277.407,1385.090991,1350.996199
16/05/12,-0.004,0.0369,1324.800049,1277.599,1384.417593,1351.889799
17/05/12,-0.015,0.0212,1304.859985,1277.788,1384.046394,1352.700599
18/05/12,-0.007,0.0134,1295.219971,1278.042,1383.090994,1353.209199
21/05/12,0.016,0.0296,1315.98999,1278.217,1381.677192,1353.508099
22/05/12,0,0.0296,1316.630005,1278.796,1380.579592,1354.013699
23/05/12,0.002,0.0309,1318.859985,1279.382,1379.490393,1354.683599
24/05/12,0.001,0.0315,1320.680054,1280.379,1377.948594,1355.241998
25/05/12,-0.002,0.0286,1317.819946,1281.12,1376.476594,1355.872799
29/05/12,0.011,0.0392,1332.420044,1282.105,1374.780994,1356.280398
30/05/12,-0.014,0.0237,1313.319946,1282.904,1373.345994,1356.831598
31/05/12,-0.002,0.0208,1310.329956,1283.577,1371.417393,1357.154197
01/06/12,-0.025,-0.0047,1278.040039,1284.106,1369.513591,1357.479396
04/06/12,0,-0.0049,1278.180054,1284.533,1367.016592,1357.452797
05/06/12,0.006,0.0004,1285.5,1284.954,1364.724592,1357.313798
06/06/12,0.023,0.0229,1315.130005,1285.678,1362.492393,1357.243998
07/06/12,0,0.022,1314.98999,1286.636,1360.464792,1357.440298
08/06/12,0.008,0.0296,1325.660034,1287.592,1358.514192,1357.699298
11/06/12,-0.013,0.0159,1308.930054,1288.409,1356.916592,1358.019198
12/06/12,0.012,0.0272,1324.180054,1289.065,1355.029592,1358.028098
13/06/12,-0.007,0.0194,1314.880005,1289.89,1353.343794,1358.124899
14/06/12,0.011,0.0298,1329.099976,1290.58,1351.260593,1358.119899
15/06/12,0.01,0.04,1342.839966,1291.175,1349.574993,1358.250898
18/06/12,0.001,0.041,1344.780029,1291.825,1348.452593,1358.532798
19/06/12,0.01,0.0507,1357.97998,1292.454,1347.386594,1358.719998
20/06/12,-0.002,0.0483,1355.689941,1293.222,1346.902195,1359.115497
21/06/12,-0.022,0.0242,1325.51001,1294.131,1346.844194,1359.509097
22/06/12,0.007,0.031,1335.02002,1294.932,1345.980195,1359.634097
25/06/12,-0.016,0.014,1313.719971,1295.614,1344.929197,1359.860197
26/06/12,0.005,0.0183,1319.98999,1296.253,1343.798396,1359.756497
27/06/12,0.009,0.0268,1331.849976,1297.082,1342.806797,1359.700996
28/06/12,-0.002,0.024,1329.040039,1297.93,1341.628196,1359.570496
